Research Activity,Stream,PDF,Percentage Distribution
climbing down chimneys,DS,0.24006488951855268,0.16%
composing classical music,CS+DS,0.39650478719128757,0.16%
impersonating women,DS,0.31982018799959977,0.14%
fighting for civil rights,CS+DS,0.20474551176045167,0.06%
promoting Objectivism,CS+DS,0.3977692377762013,0.08%
convicting criminals,DS,0.3330189882197916,0.20%
writing modern poetry,CS+DS,0.3773285583947493,0.14%
killing teenagers,DS,0.39873634191396595,0.20%
making propagandistic movies,CS+DS,0.3752053296996607,0.18%
complaining about everything,DS,0.1441516062883048,0.06%
campaigning for the presidency,CS,0.21610434474598628,0.08%
developing political strategies,DS,0.3851367412982302,0.20%
kicking ass,DS,0.21331516230408182,0.08%
interviewing politicians,CS+DS,0.22706349103265594,0.12%
telling tall tales,DS,0.22986612205745047,0.06%
playing tough guys,CS+DS,0.24829721017672518,0.16%
selling consumer goods,CS+DS,0.20498173847985707,0.04%
teaching philosophy to future leaders,CS,0.36410451021830115,0.22%
playing ice hockey,CS+DS,0.33364505510488657,0.08%
chasing electronic ghosts,DS,0.02581363581136677,0.00%
starring in TV shows,CS+DS,0.0059023881151011705,0.00%
selling kitsch,CS,0.34122935010191957,0.14%
climbing social ladders,DS,0.38346897873772146,0.14%
starring in Hollywood movies,CS+DS,0.37828186121237845,0.12%
directing science fiction movies,CS,0.24440132878512433,0.16%
making money,DS,0.37564771999293584,0.26%
devising evil schemes,DS,0.3586219083448457,0.22%
studying magic tricks,DS,0.27622245694170156,0.12%
promoting Catholic values,CS,0.34677995728638517,0.08%
making fantasy movies,CS,0.07678853229986068,0.02%
promoting feminism,CS,0.39002128575757555,0.20%
crushing dissent,CS,0.17607075253580523,0.10%
starring in action movies,CS+DS,0.16900314495990698,0.08%
counting calories,DS,0.39674093213217976,0.24%
playing grungy music,CS,0.048786239248476165,0.04%
foiling the schemes of evil villains,DS,0.2595173248678414,0.12%
running a crime family,DS,0.31375758241591734,0.14%
starring in Hollywood movies,CS,0.3551876936357682,0.20%
recording pop songs,CS,0.38888323241151684,0.18%
falling gracefully,DS,0.17538333228256148,0.04%
selling airline seats,CS,0.39630355756640545,0.18%
fighting for justice,DS,0.39885932349428643,0.30%
leading revolts,CS+DS,0.39893647298477347,0.28%
writing modern fiction,CS,0.30218291842809153,0.12%
promoting science,DS,0.3074312911467414,0.22%
starring in comedies,CS+DS,0.36369509509795916,0.14%
making political gaffes,CS,0.3989219149334828,0.18%
playing grungy music,CS,0.31906758798751217,0.14%
performing Web searches,CS,0.2986231014900072,0.16%
dating centrefolds,CS,0.397322467110094,0.24%
inventing new confectionary,DS,0.24169516168988772,0.12%
demanding ransoms from the U.N.,DS,0.3893823366835851,0.14%
doing stand-up,CS+DS,0.3860192013450694,0.10%
making dunk shots,CS+DS,0.04976080858229337,0.04%
manipulating ingenues,DS,0.35861443641743496,0.08%
beating menial staff,DS,0.020316854825468297,0.00%
painting over photographs,CS,0.38843232366164204,0.22%
delivering presents,DS,0.2520730222105788,0.16%
winning golf tournaments,CS+DS,0.390591503338763,0.26%
singing rock songs,CS,0.37140989718119277,0.12%
creating adverts,DS,0.06298484548798389,0.02%
running a clandestine spy organization,DS,0.12482073819859069,0.12%
singing pop songs,CS,0.21925623086607182,0.04%
offering medical opinions,DS,0.3868247447957859,0.18%
starring in romantic comedies,CS,0.39817685401138697,0.16%
writing rap songs,CS,0.2902762408149523,0.12%
throwing Bunga Bunga parties,CS+DS,0.22493752137289091,0.10%
shopping for shoes,CS+DS,0.3203128622542739,0.12%
composing advertizing jingles,DS,0.39875822890449175,0.12%
starring in Hollywood movies,CS,0.31940316299731525,0.18%
chasing murderers,DS,0.010628925968608864,0.00%
making silly decisions,DS,0.21607902245301924,0.08%
writing rock songs,CS,0.30867247710604595,0.22%
cooking for friends,DS,0.2267623171029649,0.10%
promoting political causes,CS,0.3542114518522021,0.16%
mooching from neighbors,DS,0.2360131677499953,0.12%
patenting new technologies,CS,0.04922423505884485,0.00%
starring in Hollywood movies,CS,0.051518714267231085,0.02%
telling politicians what to do,CS,0.3982586579428801,0.14%
defending the weak,CS+DS,0.3950192485023379,0.10%
starring in Hollywood movies,CS,0.20477424468078206,0.06%
throwing temper tantrums,CS,0.3028817616515591,0.14%
singing blues songs,CS+DS,0.3968239927274442,0.26%
looking after mother,DS,0.34148542101043255,0.16%
ranting about liberals,CS,0.3851811887972267,0.16%
painting realistic pictures,CS+DS,0.39560971670046213,0.10%
driving fast cars,CS,0.16645536701186017,0.02%
punishing criminals,DS,0.3125415274872125,0.18%
starring in madcap comedies,CS,0.2945379286911065,0.16%
constructing an ironic public image,CS+DS,0.2831392514091194,0.22%
promoting socialism,CS+DS,0.34007654539415827,0.10%
competing in the Olympics,CS,0.3748515967905942,0.24%
smoking herb,CS+DS,0.37343323824059826,0.22%
writing plays,CS,0.3001217940763187,0.10%
writing romantic poetry,CS+DS,0.26711900291657,0.10%
promoting Catholic values,CS,0.39188167564152604,0.08%
making provocative documentaries,CS+DS,0.20985217151408275,0.14%
duelling acrobatically,DS,0.13932981317861823,0.06%
talking up the economy,CS,0.36405667983774787,0.16%
scandalizing polite society,CS+DS,0.37124213771804965,0.20%
knocking out opponents,DS,0.31200889626837663,0.16%
hunting wabbits,DS,0.3615153719902354,0.16%
winning battles,CS,0.3093349373103299,0.20%
going bowling,DS,0.1712406630764459,0.12%
singing parody songs,CS+DS,0.3732641806872481,0.16%
winning tennis tournaments,CS+DS,0.08980408285370785,0.06%
writing erotic fiction,CS,0.28197455894451373,0.14%
writing science fiction,CS+DS,0.3245833183983372,0.16%
inventing lies,DS,0.30498045214860725,0.14%
producing Hipbop records,CS,0.21421411572116958,0.08%
leading armies into battle,CS+DS,0.39772579229177135,0.14%
pedalling engine-less cars,DS,0.09188474147160788,0.02%
performing stand-up,CS,0.37909204419960063,0.14%
making Superhero movies,CS,0.3989055681513385,0.22%
coining sparkling witticisms,CS+DS,0.32152692495492136,0.16%
running a bureaucracy,CS,0.3291356710295632,0.16%
running a dictatorship,CS+DS,0.3968766492522205,0.20%
killing demons,DS,0.3362522246621046,0.26%
terrorizing sleepers,DS,0.16121998849026412,0.10%
trading in wives,CS,0.11724853912953645,0.10%
suppressing violent urges,DS,0.39847291490914855,0.16%
collecting bounties on runaways,DS,0.3133116126013208,0.22%
preaching tolerance,DS,0.3690552394099986,0.22%
reporting the news,DS,0.2035123015210533,0.12%
running an empire,DS,0.39708996435272265,0.22%
writing for the New Yorker,CS+DS,0.39883206822025014,0.16%
plotting against family members,DS,0.28532898175157545,0.06%
writing cook books,CS+DS,0.12014409340090858,0.04%
studying magic,DS,0.30351864233792875,0.22%
saying grace,DS,0.3969289471273741,0.16%
duelling acrobatically,DS,0.12412108684879845,0.04%
starring in Hollywood movies,CS,0.3858586633696997,0.30%
writing about social problems,CS+DS,0.38889847216080514,0.14%
keeping accounts,DS,0.31508578665403236,0.10%
offering blessings,DS,0.3983478671943602,0.14%
fighting for civil rights,CS,0.3304384380032704,0.12%
having meltdowns in public,CS,0.37637683251026127,0.14%
judging legal cases,CS+DS,0.39869604221932803,0.14%
hunting aliens,DS,0.39785630619622087,0.16%
selling perfumes,CS+DS,0.2875701841536375,0.10%
playing aggressive chess,CS,0.3483060734603555,0.14%
winning battles,CS+DS,0.34398151293219453,0.14%
speaking with funny accents,CS,0.07648003727930223,0.00%
robbing from the rich,DS,0.2006457215153898,0.10%
devising evil schemes,DS,0.297390597967731,0.22%
starring in comedies,CS,0.3640537533518254,0.22%
doing the Kessel run,DS,0.3755977384643388,0.24%
instigating rebellion,CS,0.23834436541964987,0.12%
running a software company,DS,0.1345400920644843,0.04%
eluding authorities,CS,0.15714112738501404,0.12%
performing street magic,CS+DS,0.3753317958016812,0.22%
advising on foreign affairs,CS+DS,0.01624306453614872,0.00%
struggling with modern times,CS,0.31074350895971337,0.10%
starring in Hollywood movies,CS+DS,0.19811213626504942,0.12%
terrorizing employees,DS,0.31685684379290663,0.22%
hunting demons,DS,0.39238793522252635,0.14%
studying magic tricks,DS,0.28997981603099265,0.12%
promoting new technologies,CS,0.0721862899173006,0.02%
promoting Catholic values,CS,0.15589476745300185,0.10%
playing rock music,DS,0.25186468023107356,0.20%
publishing soft pornography,CS,0.38581931345299186,0.20%
solving mysteries,DS,0.29451966868479584,0.14%
making dumb comedies,CS+DS,0.3989327530149302,0.16%
studying linguistics,CS,0.39868669757468506,0.28%
offering advice,DS,0.32892176027231074,0.08%
tolerating adultery,CS,0.3989186084166537,0.22%
foiling the schemes of evil villains,DS,0.3960232974192839,0.32%
writing pop songs,CS+DS,0.3683775416562829,0.16%
selling stock cubes,CS,0.36224011221211033,0.12%
promoting Scientology,CS+DS,0.24062084453205254,0.12%
singing torch songs,CS+DS,0.37104357638515084,0.22%
playing basketball,CS+DS,0.22906714173694134,0.08%
running a criminal enterprise,CS,0.2735574456890823,0.10%
organizing prison breaks,DS,0.3198886864212106,0.22%
making movies,CS,0.17840555293129495,0.04%
campaigning for environmental causes,CS,0.17961765226906712,0.04%
recruiting dissidents,DS,0.2396001910010707,0.12%
delivering forehand slams,CS+DS,0.3132851539081829,0.22%
leading an exodus,CS+DS,0.178753113179233,0.04%
stabbing in the back,CS+DS,0.2974812815510783,0.12%
developing military strategies,CS+DS,0.17839117408798422,0.10%
starring in sit-coms,CS,0.27870770435167624,0.08%
singing pop songs,CS+DS,0.2196810188459206,0.14%
preparing for war,DS,0.3868416606780259,0.26%
telling affable jokes,CS,0.3879772479894612,0.22%
fighting for justice,DS,0.3989211765559055,0.22%
racing fast cars,CS+DS,0.3772117484820781,0.16%
writing blues songs,CS,0.3976051705147435,0.16%
starring in pornographic movies,CS,0.09203211441159337,0.06%
wearing a batsuit,CS,0.21442723240596645,0.04%
causing mayhem,DS,0.320211295214017,0.10%
playing pop music,CS+DS,0.18095920964375087,0.08%
preaching tolerance,CS,0.3943459797788319,0.12%
telling epic tales,CS,0.2704584774906594,0.10%
promoting political causes,CS+DS,0.0809696513779329,0.02%
starring in comedies,CS+DS,0.3703077752778855,0.26%
solving mysteries,DS,0.36583970915700387,0.32%
moaning about men,CS,0.23471484068783371,0.10%
fighting for civil rights,CS,0.38897616491344184,0.18%
making ice sculptures,DS,0.3111602455670533,0.16%
promoting conservative values,CS,0.14245110264842042,0.04%
running pyramid schemes,CS+DS,0.22028822743301116,0.10%
chasing rabbits,DS,0.22567762352130533,0.18%
punishing criminals,DS,0.3856937669478811,0.30%
solving crimes,DS,0.027882240416242626,0.00%
foiling the schemes of evil villains,DS,0.38635878192857254,0.20%
starring in daytime soap operas,DS,0.37968568263341934,0.24%
avoiding retirement,DS,0.05208497601455249,0.00%
hosting radio shows,CS,0.34608912575417705,0.16%
singing pop songs,CS+DS,0.3928486611871397,0.20%
painting dark pictures,CS+DS,0.36522961788525155,0.12%
